3381	24700	3641	25035	
3907	23685	4157	23881	
4687	23619	5050	23987	
4870	24123	5177	24582	
4077	27234	4259	27358	
3794	26953	4068	27218	
4931	26904	5341	27249	
4960	25488	5229	25882	
3648	24810	3809	25188	
5349	26876	5470	27046	
4081	24627	4556	24871	
3663	25779	3893	26039	
4829	25067	4981	25218	
3934	27514	4330	27835	
5164	27370	5472	27712	
5534	20578	5811	20830	
5805	20562	6000	20732	
5727	19410	5904	19583	
6128	23936	6419	24222	
5534	24045	5697	24205	
5472	24870	5912	25445	
5479	26910	5848	27257	
5672	25543	5971	25927	
6181	25650	6468	25954	
5924	26006	6433	26474	
5472	27365	5864	27732	
9002	12543	9116	12743	
8190	17778	8628	18147	
7796	17878	8098	18175	
7775	18991	7946	19144	
7974	18214	8476	18597	
7314	17585	7532	17799	
7387	21168	7699	21443	
8429	21698	8682	21884	
8717	22384	9016	22650	
8105	23644	8367	23904	
8815	24398	9120	24619	
8120	24393	8455	24617	
8208	24048	8417	24299	
7504	24633	7807	24840	
8105	24662	8514	25044	
10597	10731	10903	10938	
10510	12996	10919	13407	
10051	13114	10456	13543	
10594	11800	10937	12192	
9925	12708	10318	13055	
10761	10972	10940	11305	
10697	12198	10942	12598	
10063	10949	10237	11115	
10364	12379	10562	12611	
10160	15056	10492	15393	
9461	16123	9899	16415	
9886	14177	10256	14523	
10521	14471	10873	14813	
9898	16037	10347	16416	
10246	15412	10660	15866	
10208	13681	10569	13976	
10574	14918	10881	15298	
9753	13691	10077	14016	
10794	15894	10942	16211	
9690	15784	9984	16022	
10527	14289	10714	14449	
10520	16427	10935	16854	
10253	16927	10655	17322	
9635	16623	10040	17000	
9822	17098	10193	17460	
10771	17216	10941	17647	
10271	18727	10627	19152	
9154	17924	9530	18400	
9459	16416	9836	16614	
10251	20445	10466	20680	
9518	22838	9903	23268	
9953	22873	10215	23265	
10666	23375	10940	23761	
9188	22734	9463	23076	
10381	22654	10841	23177	
10768	24014	10944	24389	
10684	24627	10937	24996	
11792	6759	11936	6913	
11098	8956	11265	9119	
11006	12863	11419	13269	
12152	12500	12538	12816	
11069	13320	11454	13675	
11344	11389	11743	11790	
11844	11959	12225	12328	
12019	13156	12386	13508	
11274	12512	11660	12842	
11900	12796	12240	13065	
10947	10968	11128	11334	
11962	12612	12146	12783	
10950	12154	11125	12582	
11598	15128	12036	15554	
11759	15597	12135	15976	
11900	14229	12249	14584	
12250	14198	12612	14547	
11220	15692	11630	16139	
11427	14724	11898	15115	
11049	15227	11509	15662	
12453	15518	12751	15873	
11972	14579	12343	14935	
11824	15989	12214	16405	
12130	15615	12433	15875	
11284	14300	11774	14720	
11234	13724	11679	14168	
10944	15823	11197	16234	
10950	13942	11178	14235	
12535	14954	12760	15360	
12306	15872	12555	16108	
12534	13941	12750	14165	
11064	16711	11510	17114	
11590	16501	11976	16967	
11075	17791	11444	18272	
11972	16430	12347	16829	
12219	17197	12568	17576	
12422	16473	12762	16843	
10944	17337	11105	17674	
12053	17724	12247	17901	
11396	17484	11659	17799	
11949	17525	12166	17727	
12653	17563	12763	17809	
11387	20402	11765	20735	
12126	20173	12490	20533	
12177	20597	12549	20948	
11405	20747	11742	21120	
11808	20335	12118	20626	
11931	21129	12212	21383	
12317	20998	12620	21286	
12489	20041	12759	20415	
11495	21271	11787	21523	
11977	21530	12261	21814	
11881	20711	12134	20948	
12605	19643	12767	19982	
12634	20510	12764	20712	
11668	24069	12063	24513	
12453	23961	12759	24291	
12075	24420	12411	24622	
11429	24193	11663	24425	
10956	23097	11190	23433	
10951	24088	11149	24454	
12356	23385	12512	23526	
11100	24657	11501	25222	
11755	24750	12199	25214	
12390	24624	12765	24905	
12778	7052	13005	7378	
13911	7322	14172	7541	
13046	9171	13240	9337	
12775	9511	12981	9786	
12768	13019	13118	13358	
13077	11843	13457	12210	
12768	10951	13107	11374	
13696	12996	13946	13202	
13082	13934	13449	14340	
12773	14921	12971	15392	
13761	13832	14029	14086	
13138	16189	13564	16403	
13104	13680	13517	13899	
12781	17926	13112	18200	
12881	16426	13379	16869	
12849	18386	13122	18681	
12777	19963	13143	20308	
13210	21028	13613	21355	
12768	20792	13068	21173	
12972	20337	13310	20705	
14253	21093	14585	21474	
12771	19579	13021	19969	
13090	20754	13407	21018	
13111	19166	13446	19395	
13120	19410	13433	19679	
13805	19188	13969	19334	
12983	22806	13354	23186	
12768	23287	13104	23630	
13489	23823	13877	24160	
12771	23974	13106	24331	
14086	22221	14449	22724	
13496	23107	13859	23468	
13443	22745	13794	23072	
13808	22720	14081	23101	
13912	24152	14259	24550	
14114	22766	14411	23028	
13335	22450	13494	22635	
14334	23184	14576	23670	
12813	23686	13082	23958	
13795	22006	14072	22262	
13436	24202	13759	24526	
13032	22643	13183	22811	
12769	22098	12870	22300	
13694	25583	14135	25979	
14185	26713	14584	27033	
13738	26002	14130	26383	
13599	24867	14075	25301	
13918	27141	14375	27354	
13439	26695	13895	27106	
13913	26507	14119	26695	
13497	26046	13726	26301	
14210	26421	14502	26686	
14196	26034	14463	26289	
13891	26809	14149	27104	
13965	27473	14379	27845	
14331	27846	14592	28279	
14337	28295	14578	28666	
13477	28711	13884	29087	
12978	28215	13446	28645	
13884	27964	14214	28255	
13713	27571	13969	27856	
13140	27565	13521	28063	
12950	27360	13267	27567	
14232	31147	14584	31533	
12779	30531	13071	30871	
13566	31224	14100	31674	
12795	31218	13090	31603	
13153	32458	13537	32757	
13836	32256	14319	32637	
15397	10957	15870	11300	
15920	11993	16315	12378	
16296	12401	16412	12602	
